payer,cpt_code,description,allowed_amount,effective_date
Aetna,90785,Interactive complexity add-on,,
Aetna,90791,Psychiatric diagnostic eval (no medical services),,
Aetna,90792,Psychiatric diagnostic eval (with medical services),,
Aetna,90832,"Individual psychotherapy, 30 min",,
Aetna,90833,30-min psychotherapy add-on with E/M,,
Aetna,90834,"Individual psychotherapy, 45 min",,
Aetna,90836,45-min psychotherapy add-on with E/M,76.51,
Aetna,90837,"Individual psychotherapy, 60 min",,
Aetna,90838,60-min psychotherapy add-on with E/M,101.21,
Aetna,90839,"Psychotherapy for crisis, first 60 min",,
Aetna,90840,"Crisis psychotherapy, each additional 30 min",,
Aetna,90846,Family psychotherapy without patient present,,
Aetna,90847,Family psychotherapy with patient present,,
Aetna,90849,Multiple-family group psychotherapy,,
Aetna,90853,Group psychotherapy,,
Aetna,90875,"Psychophysiological therapy with biofeedback, 30 min",,
Aetna,90876,"Psychophysiological therapy with biofeedback, 45 min",,
Aetna,90880,Hypnotherapy,,
Aetna,90882,Environmental intervention for psychiatric treatment,,
Aetna,90887,Interpretation of psychiatric records to family/caregivers,,
Aetna,90901,"Biofeedback training, any modality",,
Aetna,90867,"TMS treatment, initial delivery + motor threshold",,
Aetna,90868,"TMS treatment, subsequent delivery",,
Aetna,90869,TMS re-determination of motor threshold,,
Aetna,90870,Electroconvulsive therapy (ECT),,
Aetna,96110,Developmental screening,,
Aetna,96116,"Neurobehavioral status exam, first hour",,
Aetna,96121,"Neurobehavioral status exam, each additional hour",,
Aetna,96127,Brief emotional/behavioral assessment,,
Aetna,96156,Health behavior assessment or re-assessment,,
Aetna,96160,Patient-focused health risk assessment,,
Aetna,96161,Caregiver-focused health risk assessment,,
Aetna,96130,"Psychological testing evaluation, first hour",,
Aetna,96131,"Psychological testing evaluation, each additional hour",,
Aetna,96132,"Neuropsychological testing evaluation, first hour",,
Aetna,96133,"Neuropsychological testing evaluation, each additional hour",,
Aetna,96136,"Test administration/scoring by clinician, first 30 min",,
Aetna,96137,"Test administration/scoring by clinician, each additional 30 min",,
Aetna,96138,"Test administration by technician, first 30 min",,
Aetna,96139,"Test administration by technician, each additional 30 min",,
Aetna,96146,Psychological test via automated platform,,
Aetna,96158,"Individual health behavior intervention, first 30 min",,
Aetna,96159,"Individual health behavior intervention, each additional 15 min",,
Aetna,96164,"Group health behavior intervention, first 30 min",,
Aetna,96165,"Group health behavior intervention, each additional 15 min",,
Aetna,96167,"Family health behavior intervention with patient, first 30 min",,
Aetna,96168,"Family health behavior intervention with patient, each additional 15 min",,
Aetna,96170,"Family health behavior intervention without patient, first 30 min",,
Aetna,96171,"Family health behavior intervention without patient, each additional 15 min",,
Aetna,99202,"New patient E/M, low complexity ~15-29 min",,
Aetna,99203,"New patient E/M, low complexity ~30-44 min",,
Aetna,99204,"New patient E/M, moderate complexity ~45-59 min",,
Aetna,99205,"New patient E/M, high complexity ~60-74 min",,
Aetna,99211,"Established patient, minimal complexity",,
Aetna,99212,"Established patient, straightforward ~10-19 min",,
Aetna,99213,"Established patient, low complexity ~20-29 min",,
Aetna,99214,"Established patient, moderate complexity ~30-39 min",94.76,
Aetna,99215,"Established patient, high complexity ~40-54 min",128.13,
Aetna,99241,"Office consultation, straightforward",,
Aetna,99242,"Office consultation, low complexity",,
Aetna,99243,"Office consultation, moderate complexity",,
Aetna,99244,"Office consultation, moderate-high complexity",,
Aetna,99245,"Office consultation, high complexity",,
Aetna,99341,"Home visit, new patient, low complexity",,
Aetna,99350,"Home visit, established patient, high complexity",,
Aetna,99417,"Prolonged outpatient E/M, each additional 15 min",,
Aetna,99421,"Online digital E/M, 5-10 min (established patient)",,
Aetna,99422,"Online digital E/M, 11-20 min (established patient)",,
Aetna,99423,"Online digital E/M, 21+ min (established patient)",,
Aetna,98970,"Non-physician online digital assessment, 5-10 min",,
Aetna,98971,"Non-physician online digital assessment, 11-20 min",,
Aetna,98972,"Non-physician online digital assessment, 21+ min",,
Aetna,99441,"Telephone E/M, 5-10 min",,
Aetna,99442,"Telephone E/M, 11-20 min",,
Aetna,99443,"Telephone E/M, 21-30 min",,
Aetna,G2010,Remote review of patient-submitted image/video,,
Aetna,G2012,"Virtual check-in (brief communication, 5-10 min)",,
Aetna,99401,"Preventive counseling, approx 15 min",,
Aetna,99402,"Preventive counseling, approx 30 min",,
Aetna,99403,"Preventive counseling, approx 45 min",,
Aetna,99404,"Preventive counseling, approx 60 min",,
Aetna,99406,"Tobacco/smoking cessation counseling, 3-10 min",,
Aetna,99407,"Tobacco/smoking cessation counseling, more than 10 min",,
Aetna,99408,"Alcohol/substance screening + brief intervention, 15-30 min",,
Aetna,99409,"Alcohol/substance screening + brief intervention, more than 30 min",,
Aetna,99411,"Group preventive counseling, approx 30 min",,
Aetna,99412,"Group preventive counseling, approx 60 min",,
Aetna,97802,"Medical nutrition therapy, initial assessment (per 15 min)",,
Aetna,97803,"Medical nutrition therapy, re-assessment (per 15 min)",,
Aetna,97804,"Medical nutrition therapy, group (per 30 min)",,
Aetna,G0473,Group behavioral counseling for obesity,,
Aetna,80305,"Drug test, presumptive — direct optical observation",,
Aetna,80306,"Drug test, presumptive — instrument-assisted",,
Aetna,96372,"Therapeutic injection, subcutaneous or intramuscular",,
Aetna,99446,"Interprofessional consult, 5-10 min",,
Aetna,99447,"Interprofessional consult, 11-20 min",,
Aetna,99448,"Interprofessional consult, 21-30 min",,
Aetna,99449,"Interprofessional consult, 31+ min",,
Aetna,99451,Interprofessional consult with written report (no verbal discussion),,
Aetna,99452,Requesting provider prep/communication time,,
Aetna,G0546,"CMS behavioral health consult, 5-10 min",,
Aetna,G0547,"CMS behavioral health consult, 11-20 min",,
Aetna,G0548,"CMS behavioral health consult, 21-30 min",,
Aetna,G0549,"CMS behavioral health consult, 31+ min",,
Aetna,G0550,"CMS behavioral health consult, written report only",,
Aetna,G0551,Extended records review / record referral service,,
Aetna,99484,"General behavioral health integration, monthly (20+ min)",,
Aetna,99492,"Psychiatric CoCM, initial month (70+ min)",,
Aetna,99493,"Psychiatric CoCM, subsequent months (60+ min)",,
Aetna,99494,CoCM additional 30 min (add-on),,
Aetna,G0323,BHI by clinical psychologist or social worker,,
Aetna,99483,Cognitive assessment and care plan,,
Aetna,G2214,CoCM shorter-duration monthly service,,
Aetna,G0511,General care management in RHC/FQHC,,
Aetna,G0512,Psychiatric CoCM in RHC/FQHC,,
Aetna,G0444,Annual depression screening (Medicare preventive),,
Aetna,G0544,Post-crisis follow-up contacts,,
Aetna,G0560,Suicide/overdose safety planning intervention,,
Aetna,G0552,"Digital mental health treatment, supply + onboarding",,
Aetna,G0553,"Digital mental health treatment management, first 20 min/month",,
Aetna,G0554,"Digital mental health treatment management, additional 20 min",,
Aetna,H0001,Alcohol and/or drug assessment,,
Aetna,H0004,"Behavioral health counseling/therapy, per 15 min",,
Aetna,H0005,Alcohol/drug group counseling,,
Aetna,H0033,"Oral medication administration, directly observed",,
Aetna,H2011,"Crisis intervention, per 15 min",,
Aetna,H2014,"Skills training and development, per 15 min",,
Aetna,98002,Optum/UHC telehealth equivalent of 99204,,
Aetna,98003,Optum/UHC telehealth equivalent of 99205,,
Aetna,98006,Optum/UHC telehealth equivalent of 99214,,
Aetna,98007,Optum/UHC telehealth equivalent of 99215,,
Ambetter,90785,Interactive complexity add-on,,
Ambetter,90791,Psychiatric diagnostic eval (no medical services),,
Ambetter,90792,Psychiatric diagnostic eval (with medical services),,
Ambetter,90832,"Individual psychotherapy, 30 min",,
Ambetter,90833,30-min psychotherapy add-on with E/M,62.5,
Ambetter,90834,"Individual psychotherapy, 45 min",,
Ambetter,90836,45-min psychotherapy add-on with E/M,79.04,
Ambetter,90837,"Individual psychotherapy, 60 min",,
Ambetter,90838,60-min psychotherapy add-on with E/M,94.15,
Ambetter,90839,"Psychotherapy for crisis, first 60 min",,
Ambetter,90840,"Crisis psychotherapy, each additional 30 min",,
Ambetter,90846,Family psychotherapy without patient present,,
Ambetter,90847,Family psychotherapy with patient present,,
Ambetter,90849,Multiple-family group psychotherapy,,
Ambetter,90853,Group psychotherapy,,
Ambetter,90875,"Psychophysiological therapy with biofeedback, 30 min",,
Ambetter,90876,"Psychophysiological therapy with biofeedback, 45 min",,
Ambetter,90880,Hypnotherapy,,
Ambetter,90882,Environmental intervention for psychiatric treatment,,
Ambetter,90887,Interpretation of psychiatric records to family/caregivers,,
Ambetter,90901,"Biofeedback training, any modality",,
Ambetter,90867,"TMS treatment, initial delivery + motor threshold",,
Ambetter,90868,"TMS treatment, subsequent delivery",,
Ambetter,90869,TMS re-determination of motor threshold,,
Ambetter,90870,Electroconvulsive therapy (ECT),,
Ambetter,96110,Developmental screening,,
Ambetter,96116,"Neurobehavioral status exam, first hour",,
Ambetter,96121,"Neurobehavioral status exam, each additional hour",,
Ambetter,96127,Brief emotional/behavioral assessment,,
Ambetter,96156,Health behavior assessment or re-assessment,,
Ambetter,96160,Patient-focused health risk assessment,,
Ambetter,96161,Caregiver-focused health risk assessment,,
Ambetter,96130,"Psychological testing evaluation, first hour",,
Ambetter,96131,"Psychological testing evaluation, each additional hour",,
Ambetter,96132,"Neuropsychological testing evaluation, first hour",,
Ambetter,96133,"Neuropsychological testing evaluation, each additional hour",,
Ambetter,96136,"Test administration/scoring by clinician, first 30 min",,
Ambetter,96137,"Test administration/scoring by clinician, each additional 30 min",,
Ambetter,96138,"Test administration by technician, first 30 min",,
Ambetter,96139,"Test administration by technician, each additional 30 min",,
Ambetter,96146,Psychological test via automated platform,,
Ambetter,96158,"Individual health behavior intervention, first 30 min",,
Ambetter,96159,"Individual health behavior intervention, each additional 15 min",,
Ambetter,96164,"Group health behavior intervention, first 30 min",,
Ambetter,96165,"Group health behavior intervention, each additional 15 min",,
Ambetter,96167,"Family health behavior intervention with patient, first 30 min",,
Ambetter,96168,"Family health behavior intervention with patient, each additional 15 min",,
Ambetter,96170,"Family health behavior intervention without patient, first 30 min",,
Ambetter,96171,"Family health behavior intervention without patient, each additional 15 min",,
Ambetter,99202,"New patient E/M, low complexity ~15-29 min",,
Ambetter,99203,"New patient E/M, low complexity ~30-44 min",,
Ambetter,99204,"New patient E/M, moderate complexity ~45-59 min",124.45,
Ambetter,99205,"New patient E/M, high complexity ~60-74 min",164.78,
Ambetter,99211,"Established patient, minimal complexity",,
Ambetter,99212,"Established patient, straightforward ~10-19 min",,
Ambetter,99213,"Established patient, low complexity ~20-29 min",,
Ambetter,99214,"Established patient, moderate complexity ~30-39 min",103.29,
Ambetter,99215,"Established patient, high complexity ~40-54 min",133.2,
Ambetter,99241,"Office consultation, straightforward",,
Ambetter,99242,"Office consultation, low complexity",,
Ambetter,99243,"Office consultation, moderate complexity",,
Ambetter,99244,"Office consultation, moderate-high complexity",,
Ambetter,99245,"Office consultation, high complexity",,
Ambetter,99341,"Home visit, new patient, low complexity",,
Ambetter,99350,"Home visit, established patient, high complexity",,
Ambetter,99417,"Prolonged outpatient E/M, each additional 15 min",,
Ambetter,99421,"Online digital E/M, 5-10 min (established patient)",,
Ambetter,99422,"Online digital E/M, 11-20 min (established patient)",,
Ambetter,99423,"Online digital E/M, 21+ min (established patient)",,
Ambetter,98970,"Non-physician online digital assessment, 5-10 min",,
Ambetter,98971,"Non-physician online digital assessment, 11-20 min",,
Ambetter,98972,"Non-physician online digital assessment, 21+ min",,
Ambetter,99441,"Telephone E/M, 5-10 min",,
Ambetter,99442,"Telephone E/M, 11-20 min",,
Ambetter,99443,"Telephone E/M, 21-30 min",,
Ambetter,G2010,Remote review of patient-submitted image/video,,
Ambetter,G2012,"Virtual check-in (brief communication, 5-10 min)",,
Ambetter,99401,"Preventive counseling, approx 15 min",,
Ambetter,99402,"Preventive counseling, approx 30 min",,
Ambetter,99403,"Preventive counseling, approx 45 min",,
Ambetter,99404,"Preventive counseling, approx 60 min",,
Ambetter,99406,"Tobacco/smoking cessation counseling, 3-10 min",,
Ambetter,99407,"Tobacco/smoking cessation counseling, more than 10 min",,
Ambetter,99408,"Alcohol/substance screening + brief intervention, 15-30 min",,
Ambetter,99409,"Alcohol/substance screening + brief intervention, more than 30 min",,
Ambetter,99411,"Group preventive counseling, approx 30 min",,
Ambetter,99412,"Group preventive counseling, approx 60 min",,
Ambetter,97802,"Medical nutrition therapy, initial assessment (per 15 min)",,
Ambetter,97803,"Medical nutrition therapy, re-assessment (per 15 min)",,
Ambetter,97804,"Medical nutrition therapy, group (per 30 min)",,
Ambetter,G0473,Group behavioral counseling for obesity,,
Ambetter,80305,"Drug test, presumptive — direct optical observation",,
Ambetter,80306,"Drug test, presumptive — instrument-assisted",,
Ambetter,96372,"Therapeutic injection, subcutaneous or intramuscular",,
Ambetter,99446,"Interprofessional consult, 5-10 min",,
Ambetter,99447,"Interprofessional consult, 11-20 min",,
Ambetter,99448,"Interprofessional consult, 21-30 min",,
Ambetter,99449,"Interprofessional consult, 31+ min",,
Ambetter,99451,Interprofessional consult with written report (no verbal discussion),,
Ambetter,99452,Requesting provider prep/communication time,,
Ambetter,G0546,"CMS behavioral health consult, 5-10 min",,
Ambetter,G0547,"CMS behavioral health consult, 11-20 min",,
Ambetter,G0548,"CMS behavioral health consult, 21-30 min",,
Ambetter,G0549,"CMS behavioral health consult, 31+ min",,
Ambetter,G0550,"CMS behavioral health consult, written report only",,
Ambetter,G0551,Extended records review / record referral service,,
Ambetter,99484,"General behavioral health integration, monthly (20+ min)",,
Ambetter,99492,"Psychiatric CoCM, initial month (70+ min)",,
Ambetter,99493,"Psychiatric CoCM, subsequent months (60+ min)",,
Ambetter,99494,CoCM additional 30 min (add-on),,
Ambetter,G0323,BHI by clinical psychologist or social worker,,
Ambetter,99483,Cognitive assessment and care plan,,
Ambetter,G2214,CoCM shorter-duration monthly service,,
Ambetter,G0511,General care management in RHC/FQHC,,
Ambetter,G0512,Psychiatric CoCM in RHC/FQHC,,
Ambetter,G0444,Annual depression screening (Medicare preventive),,
Ambetter,G0544,Post-crisis follow-up contacts,,
Ambetter,G0560,Suicide/overdose safety planning intervention,,
Ambetter,G0552,"Digital mental health treatment, supply + onboarding",,
Ambetter,G0553,"Digital mental health treatment management, first 20 min/month",,
Ambetter,G0554,"Digital mental health treatment management, additional 20 min",,
Ambetter,H0001,Alcohol and/or drug assessment,,
Ambetter,H0004,"Behavioral health counseling/therapy, per 15 min",,
Ambetter,H0005,Alcohol/drug group counseling,,
Ambetter,H0033,"Oral medication administration, directly observed",,
Ambetter,H2011,"Crisis intervention, per 15 min",,
Ambetter,H2014,"Skills training and development, per 15 min",,
Ambetter,98002,Optum/UHC telehealth equivalent of 99204,,
Ambetter,98003,Optum/UHC telehealth equivalent of 99205,,
Ambetter,98006,Optum/UHC telehealth equivalent of 99214,,
Ambetter,98007,Optum/UHC telehealth equivalent of 99215,,
BCBS - Florida,90785,Interactive complexity add-on,11.62,
BCBS - Florida,90791,Psychiatric diagnostic eval (no medical services),,
BCBS - Florida,90792,Psychiatric diagnostic eval (with medical services),,
BCBS - Florida,90832,"Individual psychotherapy, 30 min",,
BCBS - Florida,90833,30-min psychotherapy add-on with E/M,65.36,
BCBS - Florida,90834,"Individual psychotherapy, 45 min",,
BCBS - Florida,90836,45-min psychotherapy add-on with E/M,82.66,
BCBS - Florida,90837,"Individual psychotherapy, 60 min",,
BCBS - Florida,90838,60-min psychotherapy add-on with E/M,109.59,
BCBS - Florida,90839,"Psychotherapy for crisis, first 60 min",,
BCBS - Florida,90840,"Crisis psychotherapy, each additional 30 min",,
BCBS - Florida,90846,Family psychotherapy without patient present,,
BCBS - Florida,90847,Family psychotherapy with patient present,,
BCBS - Florida,90849,Multiple-family group psychotherapy,,
BCBS - Florida,90853,Group psychotherapy,,
BCBS - Florida,90875,"Psychophysiological therapy with biofeedback, 30 min",,
BCBS - Florida,90876,"Psychophysiological therapy with biofeedback, 45 min",,
BCBS - Florida,90880,Hypnotherapy,,
BCBS - Florida,90882,Environmental intervention for psychiatric treatment,,
BCBS - Florida,90887,Interpretation of psychiatric records to family/caregivers,,
BCBS - Florida,90901,"Biofeedback training, any modality",,
BCBS - Florida,90867,"TMS treatment, initial delivery + motor threshold",,
BCBS - Florida,90868,"TMS treatment, subsequent delivery",,
BCBS - Florida,90869,TMS re-determination of motor threshold,,
BCBS - Florida,90870,Electroconvulsive therapy (ECT),,
BCBS - Florida,96110,Developmental screening,,
BCBS - Florida,96116,"Neurobehavioral status exam, first hour",,
BCBS - Florida,96121,"Neurobehavioral status exam, each additional hour",,
BCBS - Florida,96127,Brief emotional/behavioral assessment,,
BCBS - Florida,96156,Health behavior assessment or re-assessment,,
BCBS - Florida,96160,Patient-focused health risk assessment,,
BCBS - Florida,96161,Caregiver-focused health risk assessment,,
BCBS - Florida,96130,"Psychological testing evaluation, first hour",,
BCBS - Florida,96131,"Psychological testing evaluation, each additional hour",,
BCBS - Florida,96132,"Neuropsychological testing evaluation, first hour",,
BCBS - Florida,96133,"Neuropsychological testing evaluation, each additional hour",,
BCBS - Florida,96136,"Test administration/scoring by clinician, first 30 min",,
BCBS - Florida,96137,"Test administration/scoring by clinician, each additional 30 min",,
BCBS - Florida,96138,"Test administration by technician, first 30 min",,
BCBS - Florida,96139,"Test administration by technician, each additional 30 min",,
BCBS - Florida,96146,Psychological test via automated platform,,
BCBS - Florida,96158,"Individual health behavior intervention, first 30 min",,
BCBS - Florida,96159,"Individual health behavior intervention, each additional 15 min",,
BCBS - Florida,96164,"Group health behavior intervention, first 30 min",,
BCBS - Florida,96165,"Group health behavior intervention, each additional 15 min",,
BCBS - Florida,96167,"Family health behavior intervention with patient, first 30 min",,
BCBS - Florida,96168,"Family health behavior intervention with patient, each additional 15 min",,
BCBS - Florida,96170,"Family health behavior intervention without patient, first 30 min",,
BCBS - Florida,96171,"Family health behavior intervention without patient, each additional 15 min",,
BCBS - Florida,99202,"New patient E/M, low complexity ~15-29 min",,
BCBS - Florida,99203,"New patient E/M, low complexity ~30-44 min",,
BCBS - Florida,99204,"New patient E/M, moderate complexity ~45-59 min",142.41,
BCBS - Florida,99205,"New patient E/M, high complexity ~60-74 min",190.49,
BCBS - Florida,99211,"Established patient, minimal complexity",,
BCBS - Florida,99212,"Established patient, straightforward ~10-19 min",,
BCBS - Florida,99213,"Established patient, low complexity ~20-29 min",,
BCBS - Florida,99214,"Established patient, moderate complexity ~30-39 min",108.02,
BCBS - Florida,99215,"Established patient, high complexity ~40-54 min",153.5,
BCBS - Florida,99241,"Office consultation, straightforward",,
BCBS - Florida,99242,"Office consultation, low complexity",,
BCBS - Florida,99243,"Office consultation, moderate complexity",,
BCBS - Florida,99244,"Office consultation, moderate-high complexity",,
BCBS - Florida,99245,"Office consultation, high complexity",,
BCBS - Florida,99341,"Home visit, new patient, low complexity",,
BCBS - Florida,99350,"Home visit, established patient, high complexity",,
BCBS - Florida,99417,"Prolonged outpatient E/M, each additional 15 min",,
BCBS - Florida,99421,"Online digital E/M, 5-10 min (established patient)",,
BCBS - Florida,99422,"Online digital E/M, 11-20 min (established patient)",,
BCBS - Florida,99423,"Online digital E/M, 21+ min (established patient)",,
BCBS - Florida,98970,"Non-physician online digital assessment, 5-10 min",,
BCBS - Florida,98971,"Non-physician online digital assessment, 11-20 min",,
BCBS - Florida,98972,"Non-physician online digital assessment, 21+ min",,
BCBS - Florida,99441,"Telephone E/M, 5-10 min",,
BCBS - Florida,99442,"Telephone E/M, 11-20 min",,
BCBS - Florida,99443,"Telephone E/M, 21-30 min",,
BCBS - Florida,G2010,Remote review of patient-submitted image/video,,
BCBS - Florida,G2012,"Virtual check-in (brief communication, 5-10 min)",,
BCBS - Florida,99401,"Preventive counseling, approx 15 min",,
BCBS - Florida,99402,"Preventive counseling, approx 30 min",,
BCBS - Florida,99403,"Preventive counseling, approx 45 min",,
BCBS - Florida,99404,"Preventive counseling, approx 60 min",,
BCBS - Florida,99406,"Tobacco/smoking cessation counseling, 3-10 min",,
BCBS - Florida,99407,"Tobacco/smoking cessation counseling, more than 10 min",,
BCBS - Florida,99408,"Alcohol/substance screening + brief intervention, 15-30 min",,
BCBS - Florida,99409,"Alcohol/substance screening + brief intervention, more than 30 min",,
BCBS - Florida,99411,"Group preventive counseling, approx 30 min",,
BCBS - Florida,99412,"Group preventive counseling, approx 60 min",,
BCBS - Florida,97802,"Medical nutrition therapy, initial assessment (per 15 min)",,
BCBS - Florida,97803,"Medical nutrition therapy, re-assessment (per 15 min)",,
BCBS - Florida,97804,"Medical nutrition therapy, group (per 30 min)",,
BCBS - Florida,G0473,Group behavioral counseling for obesity,,
BCBS - Florida,80305,"Drug test, presumptive — direct optical observation",,
BCBS - Florida,80306,"Drug test, presumptive — instrument-assisted",,
BCBS - Florida,96372,"Therapeutic injection, subcutaneous or intramuscular",,
BCBS - Florida,99446,"Interprofessional consult, 5-10 min",,
BCBS - Florida,99447,"Interprofessional consult, 11-20 min",,
BCBS - Florida,99448,"Interprofessional consult, 21-30 min",,
BCBS - Florida,99449,"Interprofessional consult, 31+ min",,
BCBS - Florida,99451,Interprofessional consult with written report (no verbal discussion),,
BCBS - Florida,99452,Requesting provider prep/communication time,,
BCBS - Florida,G0546,"CMS behavioral health consult, 5-10 min",,
BCBS - Florida,G0547,"CMS behavioral health consult, 11-20 min",,
BCBS - Florida,G0548,"CMS behavioral health consult, 21-30 min",,
BCBS - Florida,G0549,"CMS behavioral health consult, 31+ min",,
BCBS - Florida,G0550,"CMS behavioral health consult, written report only",,
BCBS - Florida,G0551,Extended records review / record referral service,,
BCBS - Florida,99484,"General behavioral health integration, monthly (20+ min)",,
BCBS - Florida,99492,"Psychiatric CoCM, initial month (70+ min)",,
BCBS - Florida,99493,"Psychiatric CoCM, subsequent months (60+ min)",,
BCBS - Florida,99494,CoCM additional 30 min (add-on),,
BCBS - Florida,G0323,BHI by clinical psychologist or social worker,,
BCBS - Florida,99483,Cognitive assessment and care plan,,
BCBS - Florida,G2214,CoCM shorter-duration monthly service,,
BCBS - Florida,G0511,General care management in RHC/FQHC,,
BCBS - Florida,G0512,Psychiatric CoCM in RHC/FQHC,,
BCBS - Florida,G0444,Annual depression screening (Medicare preventive),,
BCBS - Florida,G0544,Post-crisis follow-up contacts,,
BCBS - Florida,G0560,Suicide/overdose safety planning intervention,,
BCBS - Florida,G0552,"Digital mental health treatment, supply + onboarding",,
BCBS - Florida,G0553,"Digital mental health treatment management, first 20 min/month",,
BCBS - Florida,G0554,"Digital mental health treatment management, additional 20 min",,
BCBS - Florida,H0001,Alcohol and/or drug assessment,,
BCBS - Florida,H0004,"Behavioral health counseling/therapy, per 15 min",,
BCBS - Florida,H0005,Alcohol/drug group counseling,,
BCBS - Florida,H0033,"Oral medication administration, directly observed",,
BCBS - Florida,H2011,"Crisis intervention, per 15 min",,
BCBS - Florida,H2014,"Skills training and development, per 15 min",,
BCBS - Florida,98002,Optum/UHC telehealth equivalent of 99204,,
BCBS - Florida,98003,Optum/UHC telehealth equivalent of 99205,,
BCBS - Florida,98006,Optum/UHC telehealth equivalent of 99214,,
BCBS - Florida,98007,Optum/UHC telehealth equivalent of 99215,,
Cigna,90785,Interactive complexity add-on,4.3,
Cigna,90791,Psychiatric diagnostic eval (no medical services),150.42,
Cigna,90792,Psychiatric diagnostic eval (with medical services),150.42,
Cigna,90832,"Individual psychotherapy, 30 min",64.65,
Cigna,90833,30-min psychotherapy add-on with E/M,38,
Cigna,90834,"Individual psychotherapy, 45 min",97.19,
Cigna,90836,45-min psychotherapy add-on with E/M,62,
